Date,Close/Last,Volume,Open,High,Low
04/05/2024,$22.18,43034,$21.93,$22.23,$21.93
04/04/2024,$22.00,32263,$22.49,$22.49,$22.00
04/03/2024,$22.20,38122,$22.33,$22.33,$22.10
04/02/2024,$22.81,41890,$23.30,$23.70,$22.80
04/01/2024,$23.42,41495,$23.95,$23.95,$23.34
03/28/2024,$23.12,37955,$23.39,$23.39,$23.12
03/27/2024,$23.40,22146,$23.39,$23.40,$23.18
03/26/2024,$23.36,60687,$23.68,$23.68,$23.36
03/25/2024,$23.06,176171,$23.29,$23.30,$22.702
03/22/2024,$24.85,33679,$25.00,$25.00,$24.80
03/21/2024,$24.585,27424,$24.69,$24.70,$24.54
03/20/2024,$24.33,77990,$23.88,$24.83,$23.88
03/19/2024,$24.135,29447,$23.29,$24.62,$23.28
03/18/2024,$24.24,49942,$24.66,$24.66,$24.23
03/15/2024,$24.23,33681,$24.34,$24.50,$24.23
03/14/2024,$24.38,20007,$25.24,$25.24,$24.29
03/13/2024,$25.02,43464,$25.00,$25.35,$25.00
03/12/2024,$24.53,208352,$24.64,$24.64,$24.30
03/11/2024,$24.02,57528,$24.65,$24.665,$23.91
03/08/2024,$24.33,73711,$24.60,$24.60,$24.20
03/07/2024,$24.43,49768,$24.535,$24.54,$24.35
03/06/2024,$24.49,66283,$24.23,$25.37,$24.23
03/05/2024,$24.4298,124608,$25.56,$25.56,$24.35
03/04/2024,$24.63,83441,$25.86,$25.86,$24.61
03/01/2024,$23.42,90774,$23.485,$23.50,$23.01
02/29/2024,$22.12,60131,$22.03,$22.64,$21.94
02/28/2024,$21.92,36619,$22.89,$22.89,$21.87
02/27/2024,$22.81,31453,$22.84,$23.01,$22.76
02/26/2024,$22.75,73681,$22.60,$23.32,$22.60
02/23/2024,$22.00,65403,$21.2001,$22.06,$21.2001
02/22/2024,$22.06,333922,$22.49,$22.50,$22.00
02/21/2024,$21.83,35023,$22.155,$22.155,$21.72
02/20/2024,$21.04,26573,$21.17,$21.17,$20.85
02/16/2024,$21.38,68643,$21.505,$21.505,$21.37
02/15/2024,$21.36,78307,$21.415,$21.50,$21.277
02/14/2024,$21.08,64119,$20.85,$21.08,$20.65
02/13/2024,$20.705,55904,$20.68,$21.04,$20.67
02/12/2024,$21.26,36925,$21.17,$21.338,$21.13
02/09/2024,$20.92,70463,$20.92,$20.96,$20.676
02/08/2024,$20.83,22733,$20.886,$20.92,$20.78
02/07/2024,$20.84,80845,$21.30,$21.30,$20.78
02/06/2024,$21.83,78336,$21.60,$21.85,$21.48
02/05/2024,$20.26,42779,$19.79,$20.332,$19.79
02/02/2024,$20.33,61056,$20.58,$20.58,$20.12
02/01/2024,$21.03,47450,$21.30,$21.30,$20.85
01/31/2024,$20.94,88874,$21.01,$21.108,$20.81
01/30/2024,$21.89,34498,$21.781,$21.90,$21.75
01/29/2024,$22.42,94624,$23.00,$23.00,$22.145
01/26/2024,$23.88,74559,$24.00,$24.00,$23.80
01/25/2024,$26.108,24076,$26.32,$26.415,$26.02
01/24/2024,$26.1183,57840,$26.01,$26.29,$26.01
01/23/2024,$25.90,103002,$25.59,$25.93,$25.59
01/22/2024,$25.33,67216,$25.42,$25.42,$25.27
01/19/2024,$25.42,91573,$24.854,$25.48,$24.83
01/18/2024,$24.876,66080,$24.98,$25.01,$24.754
01/17/2024,$24.395,98002,$24.41,$24.46,$24.12
01/16/2024,$25.25,42021,$25.20,$25.48,$25.18
01/12/2024,$27.0365,21076,$27.01,$27.1891,$27.01
01/11/2024,$26.93,20872,$26.59,$27.00,$26.59
01/10/2024,$26.59,28433,$26.46,$26.64,$26.02
